Left_side,Right_side,Support,Confidence,Lift
QUINOLONE,"METHICILLIN,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
"TETRACYCLINE,QUINOLONE","METHICILLIN,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
"TETRACYCLINE,QUINOLONE,BETA-LACTAM","METHICILLIN,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
QUINOLONE,"METHICILLIN,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
"QUINOLONE,BETA-LACTAM","METHICILLIN,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
"TETRACYCLINE,QUINOLONE","METHICILLIN,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
QUINOLONE,"TETRACYCLINE,METHICILLIN,BETA-LACTAM,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
"QUINOLONE,BETA-LACTAM","TETRACYCLINE,METHICILLIN,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
QUINOLONE,"TETRACYCLINE,METHICILLIN,MACROLIDE",0.09183673469387756,0.5625000000000001,5.011363636363638
"TETRACYCLINE,METHICILLIN,MACROLIDE","QUINOLONE,BETA-LACTAM",0.09183673469387756,0.8181818181818182,5.011363636363637
"METHICILLIN,MACROLIDE","TETRACYCLINE,QUINOLONE",0.09183673469387756,0.8181818181818182,5.011363636363637
"METHICILLIN,BETA-LACTAM,MACROLIDE",QUINOLONE,0.09183673469387756,0.8181818181818182,5.011363636363637
"TETRACYCLINE,METHICILLIN,BETA-LACTAM,MACROLIDE",QUINOLONE,0.09183673469387756,0.8181818181818182,5.011363636363637
"METHICILLIN,MACROLIDE","QUINOLONE,BETA-LACTAM",0.09183673469387756,0.8181818181818182,5.011363636363637
"METHICILLIN,MACROLIDE","TETRACYCLINE,QUINOLONE,BETA-LACTAM",0.09183673469387756,0.8181818181818182,5.011363636363637
"METHICILLIN,MACROLIDE",QUINOLONE,0.09183673469387756,0.8181818181818182,5.011363636363637
"METHICILLIN,BETA-LACTAM,MACROLIDE","TETRACYCLINE,QUINOLONE",0.09183673469387756,0.8181818181818182,5.011363636363637
"TETRACYCLINE,METHICILLIN,MACROLIDE",QUINOLONE,0.09183673469387756,0.8181818181818182,5.011363636363637
"TETRACYCLINE,QUINOLONE,METHICILLIN","BETA-LACTAM,MACROLIDE",0.09183673469387756,0.6428571428571429,4.2
"QUINOLONE,METHICILLIN,BETA-LACTAM","TETRACYCLINE,MACROLIDE",0.09183673469387756,0.6428571428571429,4.2
