Source;Target;Label;Weight;title
2;1;PEdge21;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
3;1;PEdge31;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
3;2;PEdge32;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
4;1;PEdge41;0.86804;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
4;2;PEdge42;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
4;3;PEdge43;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
5;1;PEdge51;0.59161;BETA-LACTAM,METHICILLIN,TETRACYCLINE
5;2;PEdge52;0.56408;BETA-LACTAM,TETRACYCLINE
5;3;PEdge53;0.56408;BETA-LACTAM,TETRACYCLINE
5;4;PEdge54;0.73363;BETA-LACTAM,MACROLIDE,METHICILLIN,QUINOLONE,TETRACYCLINE
6;1;PEdge61;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;2;PEdge62;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;3;PEdge63;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;4;PEdge64;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;5;PEdge65;0.56408;BETA-LACTAM,TETRACYCLINE
7;1;PEdge71;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;2;PEdge72;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;3;PEdge73;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;4;PEdge74;0.64372;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;5;PEdge75;0.56408;BETA-LACTAM,TETRACYCLINE
7;6;PEdge76;1;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;1;PEdge81;1;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
8;2;PEdge82;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;3;PEdge83;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;4;PEdge84;0.86804;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
8;5;PEdge85;0.59161;BETA-LACTAM,METHICILLIN,TETRACYCLINE
8;6;PEdge86;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;7;PEdge87;0.57208;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
9;1;PEdge91;0.42426;BETA-LACTAM,TETRACYCLINE
9;2;PEdge92;0.94388;BETA-LACTAM,TETRACYCLINE
9;3;PEdge93;0.94388;BETA-LACTAM,TETRACYCLINE
9;4;PEdge94;0.4774;BETA-LACTAM,TETRACYCLINE
9;5;PEdge95;0.59761;BETA-LACTAM,TETRACYCLINE
9;6;PEdge96;0.94388;BETA-LACTAM,TETRACYCLINE
