Source;Target;Label;Weight;Description
2;1;PEdge21;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
3;1;PEdge31;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
3;2;PEdge32;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
4;1;PEdge41;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
4;2;PEdge42;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
4;3;PEdge43;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
5;1;PEdge51;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
5;2;PEdge52;2;BETA-LACTAM,TETRACYCLINE
5;3;PEdge53;2;BETA-LACTAM,TETRACYCLINE
5;4;PEdge54;5;BETA-LACTAM,MACROLIDE,METHICILLIN,QUINOLONE,TETRACYCLINE
6;1;PEdge61;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;2;PEdge62;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;3;PEdge63;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;4;PEdge64;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
6;5;PEdge65;2;BETA-LACTAM,TETRACYCLINE
7;1;PEdge71;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;2;PEdge72;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;3;PEdge73;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;4;PEdge74;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
7;5;PEdge75;2;BETA-LACTAM,TETRACYCLINE
7;6;PEdge76;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;1;PEdge81;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
8;2;PEdge82;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;3;PEdge83;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;4;PEdge84;4;BETA-LACTAM,FOSFOMYCIN,METHICILLIN,TETRACYCLINE
8;5;PEdge85;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
8;6;PEdge86;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
8;7;PEdge87;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
9;1;PEdge91;2;BETA-LACTAM,TETRACYCLINE
9;2;PEdge92;2;BETA-LACTAM,TETRACYCLINE
9;3;PEdge93;2;BETA-LACTAM,TETRACYCLINE
9;4;PEdge94;2;BETA-LACTAM,TETRACYCLINE
9;5;PEdge95;2;BETA-LACTAM,TETRACYCLINE
9;6;PEdge96;2;BETA-LACTAM,TETRACYCLINE
9;7;PEdge97;2;BETA-LACTAM,TETRACYCLINE
9;8;PEdge98;2;BETA-LACTAM,TETRACYCLINE
10;1;PEdge101;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
10;2;PEdge102;2;BETA-LACTAM,TETRACYCLINE
10;3;PEdge103;2;BETA-LACTAM,TETRACYCLINE
10;4;PEdge104;4;BETA-LACTAM,METHICILLIN,QUINOLONE,TETRACYCLINE
10;5;PEdge105;4;BETA-LACTAM,METHICILLIN,QUINOLONE,TETRACYCLINE
10;6;PEdge106;2;BETA-LACTAM,TETRACYCLINE
10;7;PEdge107;2;BETA-LACTAM,TETRACYCLINE
10;8;PEdge108;3;BETA-LACTAM,METHICILLIN,TETRACYCLINE
10;9;PEdge109;2;BETA-LACTAM,TETRACYCLINE
11;1;PEdge111;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;2;PEdge112;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;3;PEdge113;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;4;PEdge114;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;5;PEdge115;2;BETA-LACTAM,TETRACYCLINE
11;6;PEdge116;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;7;PEdge117;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;8;PEdge118;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
11;9;PEdge119;2;BETA-LACTAM,TETRACYCLINE
11;10;PEdge1110;2;BETA-LACTAM,TETRACYCLINE
12;1;PEdge121;2;FOSFOMYCIN,TETRACYCLINE
12;2;PEdge122;2;FOSFOMYCIN,TETRACYCLINE
12;3;PEdge123;2;FOSFOMYCIN,TETRACYCLINE
12;4;PEdge124;2;FOSFOMYCIN,TETRACYCLINE
12;5;PEdge125;1;TETRACYCLINE
12;6;PEdge126;2;FOSFOMYCIN,TETRACYCLINE
12;7;PEdge127;2;FOSFOMYCIN,TETRACYCLINE
12;8;PEdge128;2;FOSFOMYCIN,TETRACYCLINE
12;9;PEdge129;1;TETRACYCLINE
12;10;PEdge1210;1;TETRACYCLINE
12;11;PEdge1211;2;FOSFOMYCIN,TETRACYCLINE
13;1;PEdge131;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;2;PEdge132;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;3;PEdge133;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;4;PEdge134;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;5;PEdge135;2;BETA-LACTAM,TETRACYCLINE
13;6;PEdge136;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;7;PEdge137;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;8;PEdge138;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;9;PEdge139;2;BETA-LACTAM,TETRACYCLINE
13;10;PEdge1310;2;BETA-LACTAM,TETRACYCLINE
13;11;PEdge1311;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
13;12;PEdge1312;2;FOSFOMYCIN,TETRACYCLINE
14;1;PEdge141;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;2;PEdge142;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;3;PEdge143;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;4;PEdge144;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;5;PEdge145;2;BETA-LACTAM,TETRACYCLINE
14;6;PEdge146;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;7;PEdge147;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;8;PEdge148;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;9;PEdge149;2;BETA-LACTAM,TETRACYCLINE
14;10;PEdge1410;2;BETA-LACTAM,TETRACYCLINE
14;11;PEdge1411;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
14;12;PEdge1412;2;FOSFOMYCIN,TETRACYCLINE
14;13;PEdge1413;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;1;PEdge151;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;2;PEdge152;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;3;PEdge153;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;4;PEdge154;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;5;PEdge155;2;BETA-LACTAM,TETRACYCLINE
15;6;PEdge156;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;7;PEdge157;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;8;PEdge158;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;9;PEdge159;2;BETA-LACTAM,TETRACYCLINE
15;10;PEdge1510;2;BETA-LACTAM,TETRACYCLINE
15;11;PEdge1511;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;12;PEdge1512;2;FOSFOMYCIN,TETRACYCLINE
15;13;PEdge1513;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
15;14;PEdge1514;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;1;PEdge161;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;2;PEdge162;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;3;PEdge163;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;4;PEdge164;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;5;PEdge165;2;BETA-LACTAM,TETRACYCLINE
16;6;PEdge166;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;7;PEdge167;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;8;PEdge168;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;9;PEdge169;2;BETA-LACTAM,TETRACYCLINE
16;10;PEdge1610;2;BETA-LACTAM,TETRACYCLINE
16;11;PEdge1611;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;12;PEdge1612;2;FOSFOMYCIN,TETRACYCLINE
16;13;PEdge1613;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;14;PEdge1614;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
16;15;PEdge1615;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;1;PEdge171;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;2;PEdge172;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;3;PEdge173;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;4;PEdge174;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;5;PEdge175;2;BETA-LACTAM,TETRACYCLINE
17;6;PEdge176;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;7;PEdge177;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;8;PEdge178;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;9;PEdge179;2;BETA-LACTAM,TETRACYCLINE
17;10;PEdge1710;2;BETA-LACTAM,TETRACYCLINE
17;11;PEdge1711;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;12;PEdge1712;2;FOSFOMYCIN,TETRACYCLINE
17;13;PEdge1713;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;14;PEdge1714;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;15;PEdge1715;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
17;16;PEdge1716;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;1;PEdge181;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;2;PEdge182;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;3;PEdge183;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;4;PEdge184;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;5;PEdge185;2;BETA-LACTAM,TETRACYCLINE
18;6;PEdge186;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;7;PEdge187;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
18;8;PEdge188;3;BETA-LACTAM,FOSFOMYCIN,TETRACYCLINE
