Id;Label;Attribute
1;158;1
2;124;2
3;120;2
4;186;3
5;187;3
6;96;2
7;119;2
8;163;1
9;176;3
10;180;3
11;139;2
12;171;2
13;121;2
14;108;2
15;114;2
16;112;2
17;137;2
18;132;2
19;134;2
20;116;2
21;135;2
22;157;1
23;168;3
24;170;3
25;164;1
26;177;3
27;131;2
28;189;3
29;136;2
30;182;3
31;184;3
32;123;2
33;183;3
34;98;2
35;146;2
36;150;2
37;165;3
38;111;2
39;151;2
40;175;3
41;178;2
42;193;3
43;101;2
44;117;2
45;155;1
46;192;3
47;145;2
48;122;2
49;149;2
50;100;2
51;106;2
52;143;2
53;190;3
54;167;2
55;154;1
56;115;2
57;140;2
58;113;2
59;148;2
60;110;2
61;162;1
62;181;3
63;188;3
64;166;2
65;94;3
66;128;2
67;129;2
68;105;2
69;103;2
70;130;2
71;97;2
72;191;3
73;104;2
74;118;2
75;159;1
76;102;2
77;126;2
78;153;1
79;107;2
80;169;2
81;144;2
82;156;1
83;95;2
84;125;2
85;173;3
86;141;2
87;127;2
88;147;2
89;160;1
90;172;3
91;185;3
92;161;1
93;179;3
94;109;2
95;133;2
96;138;2
97;142;2
98;152;2
